id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,ingested_at
205823971,California,CA,6,Santa Clara County,85,Equinix,SV17,Equinix SV17,42360.0,-121.9885839,37.37652899594956,building,2026-06-11 16:34
205823980,California,CA,6,Santa Clara County,85,Equinix,SV14,Equinix SV14,20213.0,-121.9885093,37.37496213850432,building,2026-06-11 16:34
205846843,California,CA,6,Santa Clara County,85,CoreSite,SV4,CoreSite SV4,51928.0,-121.9706842,37.37626310504029,building,2026-06-11 16:34
209073635,California,CA,6,Santa Clara County,85,Lumen Technologies,,Lumen Santa Clara,25424.0,-121.9520819,37.37700481451302,building,2026-06-11 16:34
209073636,California,CA,6,Santa Clara County,85,Prime,,Prime Santa Clara,30065.0,-121.9532497,37.37501721660046,building,2026-06-11 16:34
209073641,California,CA,6,Santa Clara County,85,Digital Realty,SJC10,Digital Realty Silicon Valley SJC10,57051.0,-121.9533354,37.37582290579368,building,2026-06-11 16:34
209073645,California,CA,6,Santa Clara County,85,,,Colovore,24161.0,-121.9531488,37.37672946683328,building,2026-06-11 16:34
209073647,California,CA,6,Santa Clara County,85,Digital Realty,SJC30,Digital Realty Silicon Valley SJC30,48539.0,-121.9581053,37.37828897395487,building,2026-06-11 16:34
209073649,California,CA,6,Santa Clara County,85,Digital Realty,SJC15,Digital Realty Silicon Valley SJC15,24615.0,-121.9540769,37.374996550088426,building,2026-06-11 16:34
209073653,California,CA,6,Santa Clara County,85,Digital Realty,SJC16,Digital Realty Silicon Valley SJC16,42504.0,-121.9559862,37.374929097082685,building,2026-06-11 16:34
209073657,California,CA,6,Santa Clara County,85,Digital Realty,,Digital Realty Silicon Valley SJC29,40287.0,-121.9580962,37.37502320043753,building,2026-06-11 16:34
209073658,California,CA,6,Santa Clara County,85,Csquare,SFO4,Csquare SFO4,27286.0,-121.955193,37.37577706129449,building,2026-06-11 16:34
209073659,California,CA,6,Santa Clara County,85,Prime,,Prime SANTA CLARA DATA CENTER,25825.0,-121.9548807,37.37502630609213,building,2026-06-11 16:34
209076412,California,CA,6,Santa Clara County,85,Digital Realty,SJC11,Digital Realty Silicon Valley SJC11,44027.0,-121.948531,37.37634101,building,2026-06-11 16:34
209077298,California,CA,6,Santa Clara County,85,Lumen Technologies,,Lumen,15840.0,-121.9506821,37.37758479573238,building,2026-06-11 16:34
209087373,California,CA,6,Santa Clara County,85,Digital Realty,SJC31,Silicon Valley SJC31,146597.0,-121.9483289,37.37224989820432,building,2026-06-11 16:34
